lexeme               line  tokenName       valueIfNumber   parentNodeSymbol     isLeaf NodeSymbol          
-------------------- ----- --------------- --------------- -------------------- ----- --------------------
end                  52    TK_END          ----            mainFunction         yes                       
----                 0                     ----            program              no    mainFunction        
;                    51    TK_SEM          ----            returnStmt           yes                       
----                 0                     ----            stmts                no    returnStmt          
----                 0     EPSILON         ----            optionalReturn       yes                       
----                 0                     ----            returnStmt           no    optionalReturn      
return               51    TK_RETURN       ----            returnStmt           yes                       
----                 0                     ----            mainFunction         no    stmts               
----                 0     EPSILON         ----            otherStmts           yes                       
----                 0                     ----            otherStmts           no    otherStmts          
----                 0                     ----            otherStmts           no    otherStmts          
;                    50    TK_SEM          ----            ioStmt               yes                       
----                 0                     ----            stmt                 no    ioStmt              
)                    50    TK_CL           ----            ioStmt               yes                       
----                 0     EPSILON         ----            moreExpansions       yes                       
----                 0                     ----            option_single_constructed no    moreExpansions      
----                 0                     ----            singleOrRecId        no    option_single_constructed
chemistry            50    TK_FIELDID      ----            oneExpansion         yes                       
----                 0                     ----            option_single_constructed no    oneExpansion        
.                    50    TK_DOT          ----            oneExpansion         yes                       
----                 0                     ----            var                  no    singleOrRecId       
d4                   50    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            ioStmt               no    var                 
(                    50    TK_OP           ----            ioStmt               yes                       
write                50    TK_WRITE        ----            ioStmt               yes                       
----                 0                     ----            otherStmts           no    stmt                
----                 0                     ----            otherStmts           no    otherStmts          
;                    49    TK_SEM          ----            ioStmt               yes                       
----                 0                     ----            stmt                 no    ioStmt              
)                    49    TK_CL           ----            ioStmt               yes                       
----                 0     EPSILON         ----            moreExpansions       yes                       
----                 0                     ----            option_single_constructed no    moreExpansions      
----                 0                     ----            singleOrRecId        no    option_single_constructed
physics              49    TK_FIELDID      ----            oneExpansion         yes                       
----                 0                     ----            option_single_constructed no    oneExpansion        
.                    49    TK_DOT          ----            oneExpansion         yes                       
----                 0                     ----            var                  no    singleOrRecId       
d4                   49    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            ioStmt               no    var                 
(                    49    TK_OP           ----            ioStmt               yes                       
write                49    TK_WRITE        ----            ioStmt               yes                       
----                 0                     ----            otherStmts           no    stmt                
----                 0                     ----            otherStmts           no    otherStmts          
;                    48    TK_SEM          ----            ioStmt               yes                       
----                 0                     ----            stmt                 no    ioStmt              
)                    48    TK_CL           ----            ioStmt               yes                       
----                 0     EPSILON         ----            moreExpansions       yes                       
----                 0                     ----            option_single_constructed no    moreExpansions      
----                 0                     ----            singleOrRecId        no    option_single_constructed
maths                48    TK_FIELDID      ----            oneExpansion         yes                       
----                 0                     ----            option_single_constructed no    oneExpansion        
.                    48    TK_DOT          ----            oneExpansion         yes                       
----                 0                     ----            var                  no    singleOrRecId       
d4                   48    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            ioStmt               no    var                 
(                    48    TK_OP           ----            ioStmt               yes                       
write                48    TK_WRITE        ----            ioStmt               yes                       
----                 0                     ----            otherStmts           no    stmt                
----                 0                     ----            otherStmts           no    otherStmts          
;                    47    TK_SEM          ----            assignmentStmt       yes                       
----                 0                     ----            stmt                 no    assignmentStmt      
----                 0     EPSILON         ----            expPrime             yes                       
----                 0                     ----            arithmeticExpression no    expPrime            
----                 0                     ----            assignmentStmt       no    arithmeticExpression
----                 0     EPSILON         ----            termPrime            yes                       
----                 0                     ----            termPrime            no    termPrime           
----                 0                     ----            term                 no    termPrime           
----                 0     EPSILON         ----            option_single_constructed yes                       
----                 0                     ----            singleOrRecId        no    option_single_constructed
----                 0                     ----            var                  no    singleOrRecId       
d5cb34567            47    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            factor               no    var                 
----                 0                     ----            termPrime            no    factor              
/                    47    TK_DIV          ----            highPrecedenceOperator yes                       
----                 0                     ----            termPrime            no    highPrecedenceOperator
----                 0                     ----            arithmeticExpression no    term                
----                 0     EPSILON         ----            option_single_constructed yes                       
----                 0                     ----            singleOrRecId        no    option_single_constructed
----                 0                     ----            var                  no    singleOrRecId       
b5c6                 47    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            factor               no    var                 
----                 0                     ----            term                 no    factor              
<---                 47    TK_ASSIGNOP     ----            assignmentStmt       yes                       
----                 0     EPSILON         ----            option_single_constructed yes                       
----                 0                     ----            singleOrRecId        no    option_single_constructed
----                 0                     ----            assignmentStmt       no    singleOrRecId       
d4                   47    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            otherStmts           no    stmt                
----                 0                     ----            otherStmts           no    otherStmts          
endwhile             46    TK_ENDWHILE     ----            iterativeStmt        yes                       
----                 0                     ----            stmt                 no    iterativeStmt       
----                 0     EPSILON         ----            otherStmts           yes                       
----                 0                     ----            otherStmts           no    otherStmts          
----                 0                     ----            otherStmts           no    otherStmts          
;                    45    TK_SEM          ----            assignmentStmt       yes                       
----                 0                     ----            stmt                 no    assignmentStmt      
----                 0     EPSILON         ----            expPrime             yes                       
----                 0                     ----            expPrime             no    expPrime            
----                 0                     ----            arithmeticExpression no    expPrime            
----                 0     EPSILON         ----            termPrime            yes                       
----                 0                     ----            term                 no    termPrime           
----                 0                     ----            expPrime             no    term                
----                 45    TK_NUM          1               var                  yes                       
----                 0                     ----            factor               no    var                 
----                 0                     ----            term                 no    factor              
+                    45    TK_PLUS         ----            lowPrecedenceOperators yes                       
----                 0                     ----            expPrime             no    lowPrecedenceOperators
----                 0                     ----            assignmentStmt       no    arithmeticExpression
----                 0     EPSILON         ----            termPrime            yes                       
----                 0                     ----            term                 no    termPrime           
----                 0                     ----            arithmeticExpression no    term                
----                 0     EPSILON         ----            option_single_constructed yes                       
----                 0                     ----            singleOrRecId        no    option_single_constructed
----                 0                     ----            var                  no    singleOrRecId       
b5                   45    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            factor               no    var                 
----                 0                     ----            term                 no    factor              
<---                 45    TK_ASSIGNOP     ----            assignmentStmt       yes                       
----                 0     EPSILON         ----            option_single_constructed yes                       
----                 0                     ----            singleOrRecId        no    option_single_constructed
----                 0                     ----            assignmentStmt       no    singleOrRecId       
b5                   45    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            otherStmts           no    stmt                
----                 0                     ----            iterativeStmt        no    otherStmts          
;                    43    TK_SEM          ----            assignmentStmt       yes                       
----                 0                     ----            stmt                 no    assignmentStmt      
----                 0     EPSILON         ----            expPrime             yes                       
----                 0                     ----            expPrime             no    expPrime            
----                 0                     ----            arithmeticExpression no    expPrime            
----                 0     EPSILON         ----            termPrime            yes                       
----                 0                     ----            term                 no    termPrime           
----                 0                     ----            expPrime             no    term                
----                 0     EPSILON         ----            option_single_constructed yes                       
----                 0                     ----            singleOrRecId        no    option_single_constructed
----                 0                     ----            var                  no    singleOrRecId       
d4                   43    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            factor               no    var                 
----                 0                     ----            term                 no    factor              
+                    43    TK_PLUS         ----            lowPrecedenceOperators yes                       
----                 0                     ----            expPrime             no    lowPrecedenceOperators
----                 0                     ----            assignmentStmt       no    arithmeticExpression
----                 0     EPSILON         ----            termPrime            yes                       
----                 0                     ----            term                 no    termPrime           
----                 0                     ----            arithmeticExpression no    term                
----                 0     EPSILON         ----            option_single_constructed yes                       
----                 0                     ----            singleOrRecId        no    option_single_constructed
----                 0                     ----            var                  no    singleOrRecId       
b5c6                 43    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            factor               no    var                 
----                 0                     ----            term                 no    factor              
<---                 43    TK_ASSIGNOP     ----            assignmentStmt       yes                       
----                 0     EPSILON         ----            option_single_constructed yes                       
----                 0                     ----            singleOrRecId        no    option_single_constructed
----                 0                     ----            assignmentStmt       no    singleOrRecId       
b5c6                 43    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            otherStmts           no    stmt                
;                    42    TK_SEM          ----            funCallStmt          yes                       
----                 0                     ----            stmt                 no    funCallStmt         
]                    42    TK_SQR          ----            inputParameters      yes                       
----                 0                     ----            funCallStmt          no    inputParameters     
----                 0     EPSILON         ----            more_ids             yes                       
----                 0                     ----            idList               no    more_ids            
----                 0                     ----            inputParameters      no    idList              
b5                   42    TK_ID           ----            idList               yes                       
[                    42    TK_SQL          ----            inputParameters      yes                       
parameters           42    TK_PARAMETERS   ----            funCallStmt          yes                       
with                 42    TK_WITH         ----            funCallStmt          yes                       
_readMarks           42    TK_FUNID        ----            funCallStmt          yes                       
call                 42    TK_CALL         ----            funCallStmt          yes                       
<---                 42    TK_ASSIGNOP     ----            outputParameters     yes                       
----                 0                     ----            funCallStmt          no    outputParameters    
]                    42    TK_SQR          ----            outputParameters     yes                       
----                 0     EPSILON         ----            more_ids             yes                       
----                 0                     ----            idList               no    more_ids            
----                 0                     ----            outputParameters     no    idList              
d4                   42    TK_ID           ----            idList               yes                       
[                    42    TK_SQL          ----            outputParameters     yes                       
----                 0                     ----            iterativeStmt        no    stmt                
)                    41    TK_CL           ----            iterativeStmt        yes                       
----                 0     EPSILON         ----            option_single_constructed yes                       
----                 0                     ----            singleOrRecId        no    option_single_constructed
----                 0                     ----            var                  no    singleOrRecId       
d5cb34567            41    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            booleanExpression    no    var                 
----                 0                     ----            iterativeStmt        no    booleanExpression   
<=                   41    TK_LE           ----            relationalOp         yes                       
----                 0                     ----            booleanExpression    no    relationalOp        
----                 0     EPSILON         ----            option_single_constructed yes                       
----                 0                     ----            singleOrRecId        no    option_single_constructed
----                 0                     ----            var                  no    singleOrRecId       
b5                   41    TK_ID           ----            singleOrRecId        yes                       
----                 0                     ----            booleanExpression    no    var                 
(                    41    TK_OP           ----            iterativeStmt        yes                       
while                41    TK_WHILE        ----            iterativeStmt        yes                       
----                 0                     ----            otherStmts           no    stmt                
----                 0                     ----            otherStmts           no    otherStmts          
;                    40    TK_SEM          ----            assignmentStmt       yes                       
----                 0                     ----            stmt                 no    assignmentStmt      
----                 0     EPSILON         ----            expPrime             yes                       
----                 0                     ----            arithmeticExpression no    expPrime            
----                 0                     ----            assignmentStmt       no    arithmeticExpression
----                 0     EPSILON         ----            termPrime            yes                       
----                 0                     ----            term                 no    termPrime           
----                 0                     ----            arithmeticExpression no    term                
----                 40    TK_RNUM         0.000000        var                  yes                       
----                 0                     ----            factor               no    var                 
----                 0                     ----            term                 no    factor              
<---                 40    TK_ASSIGNOP     ----            assignmentStmt       yes                       
----                 0     EPSILON         ----            moreExpansions       yes                       
----                 0                     ----            option_single_constructed no    moreExpansions      
----                 0                     ----            singleOrRecId        no    option_single_constructed
